plant_date,plant_doy,spp,rep,run
28012019,28,helhel,3,A
28012019,28,prealb,2,A
28012019,28,genand,1,A
28012019,28,genand,3,A
28012019,28,symobl,2,A
28012019,28,allcer,2,A
28012019,28,sympil,2,A
28012019,28,liacyl,1,A
28012019,28,symobl,1,A
28012019,28,solgra,2,A
28012019,28,allcer,3,A
28012019,28,desill,3,A
28012019,28,phlpil,1,A
28012019,28,allcer,1,A
28012019,28,ratpin,2,A
28012019,28,aqucan,2,A
28012019,28,ascsyr,3,A
28012019,28,oxavio,1,A
28012019,28,symnov,3,A
28012019,28,artcam,2,A
28012019,28,ratpin,1,A
28012019,28,latven,1,A
28012019,28,ascsyr,1,A
28012019,28,symnov,2,A
28012019,28,symobl,3,A
28012019,28,artcam,1,A
28012019,28,ascsyr,2,A
28012019,28,genpub,2,A
28012019,28,aqucan,1,A
28012019,28,desill,1,A
28012019,28,symnov,1,A
28012019,28,solgra,3,A
28012019,28,genand,2,A
28012019,28,helhel,1,A
28012019,28,carpen,2,A
28012019,28,oxavio,2,A
28012019,28,helhel,2,A
28012019,28,carpen,1,A
28012019,28,solgra,1,A
28012019,28,prealb,1,A
28012019,28,desill,2,A
28012019,28,ratpin,3,A
28012019,28,genpub,1,A
28012019,28,latven,2,A
28012019,28,oxavio,3,A
28012019,28,liacyl,2,A
28012019,28,sympil,1,A
28012019,28,phlpil,2,A
4022019,35,liacyl,2,B
4022019,35,artcam,3,B
4022019,35,genpub,1,B
4022019,35,oxavio,1,B
4022019,35,sympil,2,B
4022019,35,artcam,2,B
4022019,35,carpen,1,B
4022019,35,symnov,1,B
4022019,35,phlpil,1,B
4022019,35,latven,2,B
4022019,35,liacyl,1,B
4022019,35,helhel,2,B
4022019,35,allcer,1,B
4022019,35,prealb,2,B
4022019,35,solgra,1,B
4022019,35,carpen,2,B
4022019,35,prealb,1,B
4022019,35,helhel,1,B
4022019,35,phlpil,3,B
4022019,35,latven,3,B
4022019,35,artcam,1,B
4022019,35,desill,2,B
4022019,35,sympil,3,B
4022019,35,prealb,3,B
4022019,35,genpub,3,B
4022019,35,desill,1,B
4022019,35,symnov,2,B
4022019,35,aqucan,3,B
4022019,35,ratpin,1,B
4022019,35,phlpil,2,B
4022019,35,solgra,2,B
4022019,35,latven,1,B
4022019,35,symobl,1,B
4022019,35,liacyl,3,B
4022019,35,allcer,2,B
4022019,35,aqucan,1,B
4022019,35,genand,1,B
4022019,35,ascsyr,1,B
4022019,35,genpub,2,B
4022019,35,symobl,2,B
4022019,35,aqucan,2,B
4022019,35,carpen,3,B
4022019,35,genand,2,B
4022019,35,ascsyr,2,B
4022019,35,ratpin,2,B
4022019,35,sympil,1,B
4022019,35,oxavio,2,B
4112019,42,helhel,2,C
4112019,42,ascsyr,1,C
4112019,42,symobl,1,C
4112019,42,oxavio,1,C
4112019,42,liacyl,2,C
4112019,42,aqucan,2,C
4112019,42,latven,1,C
4112019,42,carpen,1,C
4112019,42,genand,2,C
4112019,42,allcer,3,C
4112019,42,helhel,1,C
4112019,42,ratpin,3,C
4112019,42,genpub,2,C
4112019,42,ratpin,1,C
4112019,42,liacyl,1,C
4112019,42,sympil,1,C
4112019,42,genand,3,C
4112019,42,solgra,2,C
4112019,42,allcer,2,C
4112019,42,phlpil,1,C
4112019,42,ceaame,1,C
4112019,42,aqucan,1,C
4112019,42,phlpil,2,C
4112019,42,desill,3,C
4112019,42,sympil,2,C
4112019,42,symnov,2,C
4112019,42,solgra,3,C
4112019,42,genand,1,C
4112019,42,allcer,1,C
4112019,42,symobl,3,C
4112019,42,desill,2,C
4112019,42,ceaame,2,C
4112019,42,latven,2,C
4112019,42,solgra,1,C
4112019,42,carpen,2,C
4112019,42,ascsyr,3,C
4112019,42,prealb,2,C
4112019,42,symnov,1,C
4112019,42,oxavio,3,C
4112019,42,helhel,3,C
4112019,42,genpub,1,C
4112019,42,desill,1,C
4112019,42,symnov,3,C
4112019,42,artcam,1,C
4112019,42,symobl,2,C
4112019,42,ratpin,2,C
4112019,42,ascsyr,2,C
4112019,42,artcam,2,C
4112019,42,oxavio,2,C
4112019,42,prealb,1,C
4182019,49,ceaame,1,D
4182019,49,artcam,3,D
4182019,49,aqucan,2,D
4182019,49,sympil,1,D
4182019,49,genpub,1,D
4182019,49,solgra,2,D
4182019,49,aqucan,1,D
4182019,49,liacyl,1,D
4182019,49,liacyl,3,D
4182019,49,latven,3,D
4182019,49,allcer,1,D
4182019,49,carpen,2,D
4182019,49,genpub,3,D
4182019,49,phlpil,3,D
4182019,49,prealb,1,D
4182019,49,symnov,1,D
4182019,49,liacyl,2,D
4182019,49,carpen,1,D
4182019,49,prealb,3,D
4182019,49,sympil,3,D
4182019,49,artcam,1,D
4182019,49,genpub,1,D
4182019,49,artcam,2,D
4182019,49,symobl,1,D
4182019,49,desill,1,D
4182019,49,ratpin,2,D
4182019,49,phlpil,1,D
4182019,49,ceaame,3,D
4182019,49,aqucan,3,D
4182019,49,symobl,2,D
4182019,49,oxavio,2,D
4182019,49,genand,2,D
4182019,49,desill,2,D
4182019,49,ratpin,1,D
4182019,49,sympil,2,D
4182019,49,allcer,2,D
4182019,49,helhel,1,D
4182019,49,symnov,2,D
4182019,49,oxavio,1,D
4182019,49,latven,1,D
4182019,49,ascsyr,1,D
4182019,49,latven,2,D
4182019,49,helhel,2,D
4182019,49,ascsyr,2,D
4182019,49,phlpil,2,D
4182019,49,prealb,2,D
4182019,49,carpen,3,D
4182019,49,ceaame,2,D
4182019,49,genand,1,D
4182019,49,solgra,1,D
,,ceaame,1,E
,,ceaame,2,E
,,ceaame,1,F
,,ceaame,2,F
,,ceaame,3,F
25032019,84,traohi,1,G
25032019,84,traohi,2,G
25032019,84,traohi,3,G
25032019,84,traohi,4,G
25032019,84,traohi,5,G
25032019,84,traohi,6,G
25032019,84,traohi,7,G
25032019,84,traohi,8,G
25032019,84,traohi,9,G
25032019,84,traohi,10,G